SN, Contributor, l, u, Status, n(Threads), Time, PResult, txt file, csv file
1, Abhishek Prasad Ojha, 0, 270000, complete, 3, 0:01:13.971631, 0 4 16, 0 to 300000.txt, 0 to 300000.csv
2, Kripesh Adhikari, 10000000, 15000000, abandoned, 4, NA, NA, 10000000 to 15000000.txt, 10000000 to 15000000.csv
3, Bipasana Shrestha, 20000000, 21000000, complete, 4, 10:40:00, none, 20000000 to 21000000.txt, 20000000 to 21000000.csv
4, Abhishek Prasad Ojha, 270000, 10020000, abandoned, 3, NA, NA, 270000 to 10020000.txt, 270000 to 10020000.csv
5, Abhishek Prasad Ojha, 9900000, 990000000, abandoned, 3, NA, NA, 9900000 to 990000000.txt, 9900000 to 990000000.csv
6, Kripesh Adhiraki, 990000000, 9900000000, complete, 3, 03:17:00, none, 990000000 to 9900000000.txt, 990000000 to 9900000000.csv
7, Kripesh Adhikari, 0, 990000000, complete , 3, 00:21:00, 0 4 16, 0 to 990000000.txt, 0 to 990000000.csv
8, Abhishek Prasad Ojha, 9900000000, 19800000000, complete, 3, 4:05:31, none, 9900000000 to 19800000000.txt, 9900000000 to 19800000000.csv
9, Abhishek Prasad Ojha, 19800000000, 29700000000, complete, 3, 4:37:40, none, 19800000000 to 29700000000.txt, 19800000000 to 29700000000.csv
10, Bipasana Shrestha, 29700000000, 39600000000, complete, 3, 3:55:47, none, 29700000000 to 39600000000.txt, 29700000000 to 39600000000.csv
11, Abhishek Prasad Ojha, 39600000000, 49500000000, complete, 3, 4:29:55, none, 39600000000 to 49500000000.txt, 39600000000 to 49500000000.csv
12, Abhishek Prasad Ojha, 49500000000, 59400000000, complete, 3, 6:53:56, none, 49500000000 to 59400000000.txt, 49500000000 to 59400000000.csv
13, Abhishek Prasad Ojha, 59400000000, 69300000000, completed, 3, 4:36:27, none, 59400000000 to 69300000000.txt, 59400000000 to 69300000000.csv
